"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000356;4343;"ANTONIO DE DEUS NUNES DOS SANTOS";"GRILO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";43;"PV";"Partido Verde";30000000014;"AVANÇA AMAPÁ";"PEN / PHS / PR / PRB / PROS / PSDC / PT do B / PV";5;"SUPLENTE";"N";38
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000085;1201;"GUARABICHABA MARTINS FERREIRA";"GUARABICHABA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";30000000006;"A FORÇA DO POVO";"PDT / PMDB / PP";5;"SUPLENTE";"N";5
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000120;1167;"HILTON JOSE DA SILVA ALENCAR";"HILTON ALENCAR";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";11;"PP";"Partido Progressista";30000000006;"A FORÇA DO POVO";"PDT / PMDB / PP";5;"SUPLENTE";"N";0
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000108;1220;"IRACELIA BARBOSA RODRIGUES";"IRA RODRIGUES";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";30000000006;"A FORÇA DO POVO";"PDT / PMDB / PP";5;"SUPLENTE";"N";0
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000475;5080;"IZAIAS JOSE CRUZ CUNHA";"IZAIAS CARTEIRO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";50;"PSOL";"Partido Socialismo e Liberdade";30000000019;"FRENTE POPULAR A FAVOR DO AMAPA";"PC do B / PSB / PSOL / PT";5;"SUPLENTE";"N";1869
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000121;1514;"JACI ALMEIDA SIQUEIRA";"JACI SIQUEIRA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";30000000006;"A FORÇA DO POVO";"PDT / PMDB / PP";5;"SUPLENTE";"N";1
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000462;4040;"JANETE MARIA GÓES CAPIBERIBE";"JANETE";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";40;"PSB";"Partido Socialista Brasileiro";30000000019;"FRENTE POPULAR A FAVOR DO AMAPA";"PC do B / PSB / PSOL / PT";2;"ELEITO POR QP";"N";247
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000162;5444;"JORGE DO AMARAL E SOUSA";"JORGE AMARAL";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";54;"PPL";"Partido Pátria Livre";30000000009;"O AMAPÁ QUE QUEREMOS";"PMN / PPL / PPS / PRP / PRTB / PSC / PTB / PTC";5;"SUPLENTE";"N";0
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000477;5055;"JOSIVAN DOS SANTOS SOUSA";"JOSIVAN BRACHO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";50;"PSOL";"Partido Socialismo e Liberdade";30000000019;"FRENTE POPULAR A FAVOR DO AMAPA";"PC do B / PSB / PSOL / PT";5;"SUPLENTE";"N";7
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000158;1478;"JOZIANE ARAUJO NASCIMENTO ROCHA";"JOZI ROCHA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";14;"PTB";"Partido Trabalhista Brasileiro";30000000009;"O AMAPÁ QUE QUEREMOS";"PMN / PPL / PPS / PRP / PRTB / PSC / PTB / PTC";3;"ELEITO POR MÉDIA";"N";325
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000340;9098;"JURANDIL DOS SANTOS JUAREZ";"JURANDIL JUAREZ";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";90;"PROS";"Partido Republicano da Ordem Social";30000000014;"AVANÇA AMAPÁ";"PEN / PHS / PR / PRB / PROS / PSDC / PT do B / PV";5;"SUPLENTE";"N";439
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000562;5577;"KELLE CRISTIANE COSTA DAMASCENO";"KELLE CRISTIANE";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";55;"PSD";"Partido Social Democrático";30000000005;"JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA";"DEM / PSD / PSDB / SD";4;"NÃO ELEITO";"N";0
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000067;5580;"LEONETI DOS SANTOS COSTA";"LEO COSTA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";55;"PSD";"Partido Social Democrático";30000000005;"JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA";"DEM / PSD / PSDB / SD";4;"NÃO ELEITO";"N";5
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000066;5555;"LUCAS ABRAHAO ROSA CEZARIO DE ALMEIDA";"LUCAS ABRAHAO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";55;"PSD";"Partido Social Democrático";30000000005;"JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA";"DEM / PSD / PSDB / SD";4;"NÃO ELEITO";"N";32
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000029;4545;"LUIZ CARLOS GOMES DOS SANTOS JUNIOR";"LUIZ CARLOS";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";45;"PSDB";"Partido da Social Democracia Brasileira";30000000005;"JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA";"DEM / PSD / PSDB / SD";4;"NÃO ELEITO";"N";219
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000479;5050;"UBIRANILDO DA SILVA MACEDO";"MACEDO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";50;"PSOL";"Partido Socialismo e Liberdade";30000000019;"FRENTE POPULAR A FAVOR DO AMAPA";"PC do B / PSB / PSOL / PT";5;"SUPLENTE";"N";8
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000561;4500;"MARCILANGELA MAFFRA DO LIVRAMENTO";"MARCIA MAFFRA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";45;"PSDB";"Partido da Social Democracia Brasileira";30000000005;"JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA";"DEM / PSD / PSDB / SD";4;"NÃO ELEITO";"N";0
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000344;3131;"MARCIA NAZARÉ FARIAS PINHEIRO";"MARCIA PINHEIRO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";31;"PHS";"Partido Humanista da Solidariedade";30000000014;"AVANÇA AMAPÁ";"PEN / PHS / PR / PRB / PROS / PSDC / PT do B / PV";5;"SUPLENTE";"N";0
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000148;2020;"MARCOS JOSE REATEGUI SOUZA";"MARCOS REATEGUI";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";20;"PSC";"Partido Social Cristão";30000000009;"O AMAPÁ QUE QUEREMOS";"PMN / PPL / PPS / PRP / PRTB / PSC / PTB / PTC";2;"ELEITO POR QP";"N";230
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000467;1340;"MARCOS ROBERTO MARQUES DA SILVA";"MARCOS ROBERTO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";13;"PT";"Partido dos Trabalhadores";30000000019;"FRENTE POPULAR A FAVOR DO AMAPA";"PC do B / PSB / PSOL / PT";5;"SUPLENTE";"N";134
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000123;1580;"MARIA DE NAZARÉ DIAS FERREIRA";"MARIA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";30000000006;"A FORÇA DO POVO";"PDT / PMDB / PP";5;"SUPLENTE";"N";0
